,600820:207000,000541:89850,600256:13000,000027:30000,002939:500,601577:1000,601138:500,sh,total 
2018-02-27,7.62,8.68,4.51,5.67,9.09,11.51,19.83,3292.07,2611938.0
2018-02-26,7.66,8.76,4.6,5.71,9.09,11.51,19.83,3329.57,2629776.0
2018-02-23,7.53,8.63,4.45,5.65,9.09,11.51,19.83,3289.02,2587435.5
2018-02-22,7.51,8.6,4.33,5.65,9.09,11.51,19.83,3268.56,2579040.0
2018-02-14,7.41,8.46,4.27,5.61,9.09,11.51,19.83,3199.16,2543781.0
2018-02-13,7.39,8.44,4.28,5.6,9.09,11.51,19.83,3184.96,2537674.0
2018-02-12,7.33,8.41,4.26,5.58,9.09,11.51,19.83,3154.13,2521698.5
2018-02-09,7.26,8.26,4.12,5.52,9.09,11.51,19.83,3129.85,2490111.0
2018-02-08,7.67,8.53,4.43,5.67,9.09,11.51,19.83,3262.05,2607770.5
2018-02-07,7.62,8.45,4.4,5.64,9.09,11.51,19.83,3309.26,2588942.5
2018-02-06,7.64,8.38,4.35,5.63,9.09,11.51,19.83,3370.65,2585843.0
2018-02-05,8.03,9.0,4.73,5.81,9.09,11.51,19.83,3487.5,2732620.0
2018-02-02,8.05,9.01,4.8,5.9,9.09,11.51,19.83,3462.08,2741268.5
2018-02-01,8.06,8.99,4.75,5.93,9.09,11.51,19.83,3446.98,2741791.5
2018-01-31,8.26,9.13,5.03,6.07,9.09,11.51,19.83,3480.83,2803610.5
2018-01-30,8.35,9.44,5.14,6.18,9.09,11.51,19.83,3488.01,2854824.0
2018-01-29,8.37,9.41,5.09,6.16,9.09,11.51,19.83,3523.0,2855018.5
2018-01-26,8.5,9.59,4.92,6.2,9.09,11.51,19.83,3558.13,2897091.5
2018-01-25,8.5,9.48,4.92,6.21,9.09,11.51,19.83,3548.31,2887508.0
2018-01-24,8.53,9.51,4.9,6.19,9.09,11.51,19.83,3559.47,2895553.5
2018-01-23,8.44,9.43,4.83,6.16,9.09,11.51,19.83,3546.5,2867925.5
2018-01-22,8.46,9.5,4.9,6.14,9.09,11.51,19.83,3501.36,2878665.0
2018-01-19,8.41,9.47,4.87,6.11,9.09,11.51,19.83,3487.86,2864329.5
2018-01-18,8.5,9.49,4.79,6.1,9.09,11.51,19.83,3474.75,2883416.5
2018-01-17,8.34,9.47,4.81,6.11,9.09,11.51,19.83,3444.67,2849059.5
2018-01-16,8.26,9.17,4.84,6.07,9.09,11.51,19.83,3436.59,2804734.5
2018-01-15,8.22,9.08,4.81,6.04,9.09,11.51,19.83,3410.49,2787078.0
